col0,col1,col2,col3,col4
Lycée Français Anna de Noailles,Anna de Noailles,1960-01-01,Bucharest,Romania
Lycée Jean Pierre Vernant,Jean-Pierre Vernant,1920-01-01,Sèvres,France
"Lycée Paul Éluard (Saint-Denis, Seine-Saint-Denis)",Paul Éluard,1965-05-29,Saint-Denis,France
lycée Albert-Camus,Albert Camus,1960-01-01,Nîmes,France
Lycée Lapérouse,"Jean-François de Galaup, comte de La Pérouse",1968-01-01,New Caledonia,France
Lycée Voltaire,Voltaire,1890-01-01,11th arrondissement of Paris,France
Lycée Malherbe,François de Malherbe,1804-01-01,Caen,France
Lycée Saint-Martin (Rennes),Martin of Tours,1669-01-01,Rennes,France
Lycée Victor-Duruy,Victor Duruy,1912-01-01,Paris,France
Lycée Paul-Valéry,Paul Valéry,1960-01-01,Paris,France
Lycée Rochambeau,"Jean-Baptiste Donatien de Vimeur, comte de Rochambeau",1955-01-01,Montgomery County,United States of America
Lycée Français Louis Pasteur,Louis Pasteur,1934-01-01,La gran bretaña,Colombia
École Maïmonide,Moshe ben Maimon,1935-01-01,Boulogne-Billancourt,France
