col0,col1,col2,col3
Cocktail – Original Motion Picture Soundtrack,Cocktail,various artists,Elektra
The Bodyguard -  Original Soundtrack Album,The Bodyguard,various artists,Arista
8 Mile – Music from and Inspired by the Motion Picture,8 Mile,various artists,Shady Records
Glory Daze Original Motion –  Picture Soundtrack,Glory Daze,various artists,Kung Fu Records
Guardians of the Galaxy: Awesome Mix Vol. 1 – Original Motion Picture Soundtrack,Guardians of the Galaxy: Awesome Mix Vol. 1,various artists,Hollywood Records
Black Panther The Album – Music from and Inspired By,Black Panther The Album,Kendrick Lamar,Interscope Records
The Goonies: Original Motion Picture Soundtrack,The Goonies,various artists,Epic
Reality Bites – Original Motion Picture Soundtrack,Reality Bites,various artists,RCA Records
Hope Floats: Music from the Motion Picture,Hope Floats,various artists,Capitol Records
Alfie – Music From The Motion Picture,Alfie,Mick Jagger,EMI
Buffy the Vampire Slayer – Original Motion Picture Soundtrack,Buffy the Vampire Slayer,various artists,Columbia Records
iCarly – iSoundtrack II – Music from and Inspired by the Hit TV Show,iCarly,various artists,Columbia Records
