col0,col1,col2,col3,col4,col5
Orlando Cabinet,Vittorio Emanuele Orlando,Nitti I Cabinet,1917-10-29,Boselli Cabinet,Kingdom of Italy
Badoglio I Cabinet,Pietro Badoglio,Badoglio II Cabinet,1943-07-25,Mussolini Cabinet,Kingdom of Italy
De Gasperi I Cabinet,Alcide De Gasperi,De Gasperi II Cabinet,1945-12-10,Parri Cabinet,Italy
Pelloux I Cabinet,Luigi Pelloux,Pelloux II Cabinet,1898-06-29,di Rudinì V Cabinet,Kingdom of Italy
di Rudinì V Cabinet,Antonio Starabba di Rudinì,Pelloux I Cabinet,1898-06-01,di Rudinì IV Cabinet,Kingdom of Italy
di Rudinì III Cabinet,Antonio Starabba di Rudinì,di Rudinì IV Cabinet,1896-07-11,di Rudinì II Cabinet,Kingdom of Italy
Fortis I Cabinet,Alessandro Fortis,Fortis II Cabinet,1905-03-28,Tittoni Cabinet,Kingdom of Italy
Zanardelli Cabinet,Giuseppe Zanardelli,Giolitti II Cabinet,1901-02-15,Saracco Cabinet,Kingdom of Italy
Salandra II Cabinet,Antonio Salandra,Boselli Cabinet,1914-11-05,Salandra I Cabinet,Kingdom of Italy
Mussolini Cabinet,Benito Mussolini,Badoglio I Cabinet,1922-10-31,Facta II Cabinet,Kingdom of Italy
Crispi I Cabinet,Francesco Crispi,Crispi II Cabinet,1887-07-29,Depretis VIII Cabinet,Kingdom of Italy
Depretis VIII Cabinet,Agostino Depretis,Crispi I Cabinet,1887-04-04,Depretis VII Cabinet,Kingdom of Italy
Depretis VI Cabinet,Agostino Depretis,Depretis VII Cabinet,1884-03-30,Depretis V Cabinet,Kingdom of Italy
Cairoli II Cabinet,Benedetto Cairoli,Cairoli III Cabinet,1879-07-14,Depretis III Cabinet,Kingdom of Italy
Depretis IV Cabinet,Agostino Depretis,Depretis V Cabinet,1881-05-29,Cairoli III Cabinet,Kingdom of Italy
Cairoli III Cabinet,Benedetto Cairoli,Depretis IV Cabinet,1879-11-25,Cairoli II Cabinet,Kingdom of Italy
Bonomi II Cabinet,Ivanoe Bonomi,Bonomi III Cabinet,1944-06-17,Badoglio II Cabinet,Kingdom of Italy
Badoglio II Cabinet,Pietro Badoglio,Bonomi II Cabinet,1944-04-22,Badoglio I Cabinet,Kingdom of Italy
di Rudinì IV Cabinet,Antonio Starabba di Rudinì,di Rudinì V Cabinet,1897-12-14,di Rudinì III Cabinet,Kingdom of Italy
Saracco Cabinet,Giuseppe Saracco,Zanardelli Cabinet,1900-06-24,Pelloux II Cabinet,Kingdom of Italy
