col0,col1,col2,col3,col4
European Film College,Syddjurs Municipality,film school,Denmark,1993-01-01
Carolina Film Institute,South Carolina,film school,United States of America,2008-01-01
Ateliers Varan,Paris,film school,France,1981-01-01
Asian Academy of Film & Television,Noida,film school,India,1991-01-01
Krastyo Sarafov National Academy for Theatre and Film Arts,Sofia,film school,Bulgaria,1948-01-01
AFI Conservatory,Hollywood Hills,film school,United States of America,1969-01-01
Shota Rustaveli Theatre and Film University,Tbilisi,film school,Georgia,1885-01-01
École Internationale de Création Audiovisuelle et de Réalisation,La Plaine Saint-Denis,film school,France,1972-01-01
Satyajit Ray Film and Television Institute,Kolkata district,film school,India,1995-01-01
Vancouver Film School,Vancouver,film school,Canada,1987-01-01
Japan Institute of the Moving Image,Kawasaki,film school,Japan,1975-01-01
