col0,col1,col2,col3
Tokyo Metropolitan High School,1989-01-01,Meguro-ku,18
Ōmori High School,1943-01-01,Ōta-ku,18
Kamata High School,1977-01-01,Ōta-ku,15
Hibiya High School,1878-09-26,Chiyoda-ku,24
Machida High School,1929-01-01,Machida,24
Morioka Third High School,1963-04-01,Morioka,21
Tokyo Metropolitan Aoyama High School,1940-01-01,Shibuya,22
Hamana High School,1913-01-01,Hamamatsu,70
Shimizu Higashi High School,1923-01-01,Shizuoka,61
Aomori Prefectural Aomori High School,1900-09-11,Aomori,21
Komae High School,1972-04-01,Komae,26
Yonezawa Chuo Senior High School,1922-01-01,Yonezawa,42
Saitama Prefectural Urawa High School,1895-06-28,Urawa-ku,82
Saitama Prefectural Urawa first Girls' High School,1900-01-01,Urawa-ku,137
Saitama Prefectural Toyooka High School,1920-01-01,Iruma,63
Koshigaya Kita High School,1969-01-01,Koshigaya,70
Kasukabe Girls' Senior High School,1911-01-01,Kasukabe,61
Kawagoe Kōtō Gakkō,1899-04-01,Kawagoe,67
Kawagoe Technical High School,1908-05-01,Kawagoe,88
Saitama Prefectural Tokorozawa Nishi High School,1979-01-01,Tokorozawa,56
