col0,col1,col2
Fanling Public Library,"Fanling Public Library, 2/F, 9 Wo Mun Street, Fanling, N.T., Hong Kong",Hong Kong Public Libraries
Lam Tin Public Library,"Lam Tin Public Library, 5-6/F, Lam Tin Complex, 1 Hing Tin Street, Lam Tin, Hong Kong",Hong Kong Public Libraries
Un Chau Street Public Library,"Un Chau Street Public Library, 1/F., Un Chau Street Municipal Services Building, 59-63 Un Chau Street, Kowloon, Hong Kong",Hong Kong Public Libraries
Bebington Central Library,"Civic Centre,  Civic Way,  Bebington, CH63 7PN",Wirral Council
Torquay Library,"Lymington Road,  Torquay, TQ1 3DT",Torbay Council
Milnrow Library,"Milnrow Library, 55 Newhey Road, Milnrow, Rochdale, OL16 3PS",Rochdale Metropolitan Borough Council
Wallsend Library,"Wallsend Library, Ferndale Avenue, Wallsend, Tyne and Wear, NE28 7NA",North Tyneside Council
Gainsborough Library,"Gainsborough Library, Cobden Street,  Gainsborough,  Lincolnshire, DN21 2NG",Lincolnshire County Council
Victoria Library,"Victoria Library, 160 Buckingham Palace Road,  London, SW1W 9UD",Westminster City Council
Battersea Park Library,"Battersea Park Library, 309 Battersea Park Road, SW11 4NF",Wandsworth London Borough Council
Bethnal Green Library,"Bethnal Green Library, Cambridge Heath Road, London, E2 0HL",Tower Hamlets London Borough Council
Twickenham Library,"Twickenham Library, Garfield Road, Twickenham, London, TW1 3JS",Richmond upon Thames London Borough Council
Teddington Library,"Teddington Library, Waldegrave Road,  Teddington, TW11 8NY",Richmond upon Thames London Borough Council
Fullwell Cross Library,"Fullwell Cross Library, 140 High Street,  Barkingside,  Ilford,  Essex, IG6 2EA",Redbridge London Borough Council
Garston Library,"Garston Library, Bowden Road, Liverpool, L19 1QN",Liverpool City Council
Durning Library,"Durning Library, 167 Kennington Lane, London, SE11 4HF",Lambeth London Borough Council
North Kensington Library,"North Kensington Library, 108 Ladbroke Grove, North Kensington, London, W11 1PZ",Kensington and Chelsea London Borough Council
Chichester Library,"Chichester Library, Tower Street, Chichester, West Susses, PO19 1QJ",West Sussex County Council
Muswell Hill Library,"Muswell Hill Library, Queens Avenue, Muswell Hill, N10 3PE",Haringey London Borough Council
