col0,col1,col2,col3,col4,col5,col6
"Medal ""For the Liberation of Prague""",395000,1945-06-09,brass,"Medal ""For the Liberation of Warsaw""","Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""",Soviet Union
"Medal ""For the Victory over Germany in the Great Patriotic War 1941–1945""",14933000,1945-05-09,brass,"Medal ""For the Defence of the Soviet Transarctic""","Jubilee Medal ""Twenty Years of Victory in the Great Patriotic War 1941–1945""",Soviet Union
"Medal ""For the Victory over Japan""",1831000,1945-09-30,brass,"Jubilee Medal ""Forty Years of Victory in the Great Patriotic War 1941–1945""","Medal ""For the Capture of Budapest""",Soviet Union
"Medal ""For the Liberation of Belgrade""",70000,1945-06-09,brass,"Medal ""For the Capture of Berlin""","Medal ""For the Liberation of Warsaw""",Soviet Union
"Medal ""For the Defence of the Soviet Transarctic""",353240,1944-12-05,brass,"Medal ""For the Defence of the Caucasus""","Medal ""For the Victory over Germany in the Great Patriotic War 1941–1945""",Soviet Union
"Medal ""For the Defence of Sevastopol""",52540,1942-12-22,brass,"Medal ""For the Defence of Odessa""","Medal ""For the Defence of Stalingrad""",Soviet Union
"Medal ""For the Defence of Moscow""",1028600,1944-05-01,brass,"Medal ""For the Defence of Leningrad""","Medal ""For the Defence of Odessa""",Soviet Union
"Medal ""For the Defence of Leningrad""",1470000,1942-12-22,brass,"Medal ""For the Salvation of the Drowning""","Medal ""For the Defence of Moscow""",Soviet Union
"Medal ""For the Defence of Kiev""",107540,1961-06-21,brass,"Medal ""For the Defence of Stalingrad""","Medal ""For the Defence of the Caucasus""",Soviet Union
"Medal ""For the Capture of Königsberg""",760000,1945-06-09,brass,"Medal ""For the Capture of Budapest""","Medal ""For the Capture of Vienna""",Soviet Union
"Medal ""For the Capture of Berlin""",1100000,1945-06-09,brass,"Medal ""For the Capture of Vienna""","Medal ""For the Liberation of Belgrade""",Soviet Union
"Medal ""For the Capture of Vienna""",277380,1945-06-09,brass,"Medal ""For the Capture of Königsberg""","Medal ""For the Capture of Berlin""",Soviet Union
