col0,col1,col2,col3
Central Oregon Community College,1949-01-01,public educational institution of the United States,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
Central New Mexico Community College,1964-01-01,public educational institution of the United States,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
Central Maine Community College,1963-01-01,public educational institution of the United States,associate's colleges: mixed transfer/career & technical-high traditional
Central Community College,1966-01-01,public educational institution of the United States,associate's colleges: high career & technical-high nontraditional
Central Carolina Community College,1961-01-01,public educational institution of the United States,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
Central Arizona College,1961-01-01,public educational institution of the United States,associate's colleges: mixed transfer/career & technical-high nontraditional
Central Alabama Community College,1989-01-01,public educational institution of the United States,associate's colleges: high transfer-high traditional
Cerro Coso Community College,1973-01-01,community college,associate's colleges: mixed transfer/career & technical-high nontraditional
Central Virginia Community College,1966-01-01,community college,associate's colleges: high transfer-high nontraditional
Central Piedmont Community College,1963-01-01,community college,associate's colleges: high transfer-mixed traditional/nontraditional
Central Oregon Community College,1949-01-01,community college,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
