col0,col1,col2,col3,col4,col5,col6,col7
"Medal ""For the Defence of Sevastopol""","Medal ""For the Defence of Stalingrad""",Soviet Union,campaign medal,"Medal ""For the Defence of Odessa""",1942-12-22,brass,52540
"Medal ""For the Victory over Japan""","Medal ""For the Capture of Budapest""",Soviet Union,campaign medal,"Jubilee Medal ""Forty Years of Victory in the Great Patriotic War 1941–1945""",1945-09-30,brass,1831000
"Medal ""For the Defence of Moscow""","Medal ""For the Defence of Odessa""",Soviet Union,campaign medal,"Medal ""For the Defence of Leningrad""",1944-05-01,brass,1028600
"Medal ""For the Capture of Vienna""","Medal ""For the Capture of Berlin""",Soviet Union,campaign medal,"Medal ""For the Capture of Königsberg""",1945-06-09,brass,277380
"Medal ""For the Liberation of Warsaw""","Medal ""For the Liberation of Prague""",Soviet Union,campaign medal,"Medal ""For the Liberation of Belgrade""",1945-06-09,brass,701700
"Medal ""For the Defence of the Soviet Transarctic""","Medal ""For the Victory over Germany in the Great Patriotic War 1941–1945""",Soviet Union,campaign medal,"Medal ""For the Defence of the Caucasus""",1944-12-05,brass,353240
"Medal ""For the Victory over Germany in the Great Patriotic War 1941–1945""","Jubilee Medal ""Twenty Years of Victory in the Great Patriotic War 1941–1945""",Soviet Union,campaign medal,"Medal ""For the Defence of the Soviet Transarctic""",1945-05-09,brass,14933000
"Medal ""For the Liberation of Prague""","Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""",Soviet Union,campaign medal,"Medal ""For the Liberation of Warsaw""",1945-06-09,brass,395000
"Medal ""For the Victory over Germany in the Great Patriotic War 1941–1945""","Jubilee Medal ""Twenty Years of Victory in the Great Patriotic War 1941–1945""",Soviet Union,award,"Medal ""For the Defence of the Soviet Transarctic""",1945-05-09,brass,14933000
"Medal ""For the Liberation of Prague""","Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""",Soviet Union,award,"Medal ""For the Liberation of Warsaw""",1945-06-09,brass,395000
"Medal ""For the Capture of Königsberg""","Medal ""For the Capture of Vienna""",Soviet Union,campaign medal,"Medal ""For the Capture of Budapest""",1945-06-09,brass,760000
