col0,col1,col2
I.S. De Felice Giuffrida - Olivetti,Catania,Francesco Fichera
Jones County High School,Gray,Ellamae Ellis League
Simon Gratz High School,Pennsylvania,Irwin T. Catharine
Protection High School,Kansas,Routledge & Hertz
Lander County High School,Austin,George A. Ferris and Son
Hillsboro High School (New Mexico),New Mexico,Trost & Trost
"Blair High School (Blair, Nebraska)",Nebraska,"John Latenser, Sr."
Julia R. Masterman School,Pennsylvania,Irwin T. Catharine
Huerfano County High School,Walsenburg,Isaac Rapp
Plymouth County Historical Museum,Le Mars,Harry W.J. Edbrooke
Sioux City Central High School and Central Annex,Sioux City,Frank Shaver Allen
Leesburg High School,Leesburg,Dennis & Dennis
