col0,col1,col2,col3
Fondation Chirac,foundation,Jacques Chirac,Paris
Fondation Gilles Caron,foundation,Gilles Caron,Geneva
Nobel Foundation,foundation,Alfred Nobel,Stockholm
Stavros Niarchos Foundation,foundation,Stavros Niarchos,Athens
Körber Foundation,Stiftung,Kurt A. Körber,Hamburg
Prins Bernhard Cultuurfonds,foundation,Prince Bernhard of the Netherlands,Amsterdam
Binding Stiftung,foundation,Sophie Binding-Hübscher,Basel
Jan Campert foundation,foundation,Jan Campert,The Hague
Carnegie Foundation,foundation,Andrew Carnegie,The Hague
Stiftung Mercator,GmbH,Gerardus Mercator,Essen
Steinbeis Foundation,foundation,Ferdinand von Steinbeis,Stuttgart
Carl Friedrich von Siemens Stiftung,foundation,Carl Friedrich von Siemens,Nymphenburg Palace
Else Kröner-Fresenius-Foundation,foundation,Else Kröner,Bad Homburg vor der Höhe
Eichendorff-Stiftung,registered association,Joseph Freiherr von Eichendorff,Regensburg
Fritz Thyssen Foundation,foundation,Fritz Thyssen,Cologne
