col0,col1,col2,col3,col4,col5
Slovenian women's national road cycling team 1992,1992-12-31,elite national cycling team,Slovenian women's national road cycling team 1991,road bicycle racing,1992-01-01
Russian women's national road cycling team 2013,2013-12-31,elite national cycling team,Russian women's national road cycling team 2012,road bicycle racing,2013-01-01
Russian women's national road cycling team 2012,2012-12-31,elite national cycling team,Russian women's national road cycling team 2011,road bicycle racing,2012-01-01
Russian women's national road cycling team 2011,2011-12-31,elite national cycling team,Russian women's national road cycling team 2010,road bicycle racing,2011-01-01
Russian women's national road cycling team 2010,2010-12-31,elite national cycling team,Russian women's national road cycling team 2009,road bicycle racing,2010-01-01
Russian women's national road cycling team 2009,2009-12-31,elite national cycling team,Russian women's national road cycling team 2008,road bicycle racing,2009-01-01
Russian women's national road cycling team 2008,2008-12-31,elite national cycling team,Russian women's national road cycling team 2007,road bicycle racing,2008-01-01
Russian women's national road cycling team 2007,2007-12-31,elite national cycling team,Russian women's national road cycling team 2006,road bicycle racing,2007-01-01
Russian women's national road cycling team 2006,2006-12-31,elite national cycling team,Russian women's national road cycling team 2005,road bicycle racing,2006-01-01
Russian women's national road cycling team 2005,2005-12-31,elite national cycling team,Russian women's national road cycling team 2004,road bicycle racing,2005-01-01
Russian women's national road cycling team 2004,2004-12-31,elite national cycling team,Russian women's national road cycling team 2003,road bicycle racing,2004-01-01
Russian women's national road cycling team 2003,2003-12-31,elite national cycling team,Russian women's national road cycling team 2002,road bicycle racing,2003-01-01
