col0,col1,col2,col3,col4
Order of the Tower and Sword,1459-01-01,Portugal,order of chivalry,Grand Cross of the Order of the Tower and Sword
Order of Saint John,1538-01-01,Germany,order of chivalry,Knight of Honor
Order of Saint Michael,1469-01-01,France,order of chivalry,Knight of the Order of Saint-Michel
Order of Christ,1318-01-01,Portugal,order of chivalry,Order of Christ Cross
Order of Santiago,1170-01-01,Spain,order of chivalry,Cross of Saint James
Order of Aviz,1162-08-13,Portugal,order of chivalry,Knight of the Order of Aviz
Order of Saint Louis,1693-04-05,France,military decoration,Knight of the Royal and Military Order of Saint Louis
Order of the Tower and Sword,1459-01-01,Portugal,military order,Grand Cross of the Order of the Tower and Sword
Order of Saint John,1538-01-01,Germany,military order,Knight of Honor
Laureate Cross of Saint Ferdinand,1811-01-01,Spain,military order,knight of the Order of Saint Ferdinand
Order of Saint Michael,1469-01-01,France,military order,Knight of the Order of Saint-Michel
Order of Christ,1318-01-01,Portugal,military order,Order of Christ Cross
Order of Santiago,1170-01-01,Spain,military order,Cross of Saint James
