col0,col1,col2,col3,col4,col5
Judith,Roger Avermaete,Royal Ballet of Flanders,Germinal Casado,Jeanne Brabants,ballet
Masque of Separation,Robert Cohan,Royal Ballet of Flanders,Norberto Chiesa,Andrée Marlière,ballet
De Les,Flemming Flindt,Royal Ballet of Flanders,Bernard Daydé,Andrée Marlière,ballet
Les Patineurs,Frederick Ashton,Royal Ballet of Flanders,William Chappell,Andrée Marlière,ballet
Freule Julie,Birgit Cullberg,Royal Ballet of Flanders,Sven Erixson,Andrée Marlière,ballet
La Rencontre,David Lichine,Royal Ballet of Flanders,Christian Bérard,Andrée Marlière,ballet
Apollon Musagète,George Balanchine,Royal Ballet of Flanders,André Bauchant,Andrée Marlière,ballet
Brandenburg Drie,Charles Czarny,Royal Ballet of Flanders,Joop Stokvis,Charles Czarny,ballet
De Bijen,Witaly Osins,Royal Ballet of Flanders,Herman Markard,Witaly Osins,ballet
Optiek,Luc Bouy,Royal Ballet of Flanders,Roger Bernard,Luc Bouy,ballet
Cage of God,Jack Carter,Royal Ballet of Flanders,John Bogaerts,Jack Carter,ballet
De Wonderbare Mandarijn,Melchior Lengyel,Royal Ballet of Flanders,Andrei Ivaneanu,André Leclair,ballet
Confrontation,André Leclair,Royal Ballet of Flanders,Julien Mortier,André Leclair,ballet
Venusberg,André Leclair,Royal Ballet of Flanders,Julien Mortier,André Leclair,ballet
De Dood van Orfeus,André Leclair,Royal Ballet of Flanders,Jean de Vuyst,André Leclair,ballet
Satirische Suite,André Leclair,Royal Ballet of Flanders,Jean de Vuyst,André Leclair,ballet
Notturno,André Leclair,Royal Ballet of Flanders,Jean de Vuyst,André Leclair,ballet
Divertimento,André Leclair,Royal Ballet of Flanders,Jean de Vuyst,André Leclair,ballet
Ritus Paganus,André Leclair,Royal Ballet of Flanders,John Bogaerts,André Leclair,ballet
Symfonie,André Leclair,Royal Ballet of Flanders,Mimi Peetermans,André Leclair,ballet
