col0,col1,col2
150th Motorized Rifle Division,Novocherkassk,8th Guards Army (Russian Federation)
12th Infantry Division,Ternopil,Prusy Army
30th Infantry Division,Kobryn,Łódź Army
15th Cavalry Division,Płock,15th Army Corps
2nd Guard Cavalry division,Saint Petersburg,1st Guards Corps
Republican Guard,Mount Qasioun,Syrian Arab Army
15th Infantry Division,Bydgoszcz,Pomorze Army
25th Infantry Division,Kalisz,Poznań Army
14th Infantry Division,Poznań,Poznań Army
118th Jäger Division,Banja Luka,IX SS Mountain Corps
Judea and Samaria Division,Beit El,Central Command
