col0,col1,col2,col3,col4,col5
WB-Aqua Protect-Veranclassic 2018,WB-Veranclassic-Aqua Protect 2017,WB-Aqua Protect-Veranclassic,Wallonie Bruxelles 2019,Frédéric Amorison,Frédéric Amorison
EF Education First-Drapac 2018,Cannondale-Drapac 2017,EF Education First-Drapac p/b Cannondale,EF Education First Pro Cycling 2019,Jonathan Vaughters,Tom Southam
Cannondale-Drapac 2017,Cannondale-Drapac 2016,Cannondale-Drapac,EF Education First-Drapac 2018,Jonathan Vaughters,Tom Southam
Hagens Berman Axeon 2018,Axeon-Hagens Berman 2017,Hagens Berman Axeon,Hagens Berman Axeon 2019,Axel Merckx,Axel Merckx
Axeon-Hagens Berman 2017,Axeon-Hagens Berman 2016,Axeon-Hagens Berman,Hagens Berman Axeon 2018,Axel Merckx,Axel Merckx
Baby-Dump 2016,Baby-Dump 2015,Baby-Dump,Baby-Dump 2017,Piet Rooijakkers,Bernt Hamers
Cannondale-Drapac 2016,Cannondale-Garmin 2015,Cannondale,Cannondale-Drapac 2017,Jonathan Vaughters,Juan Manuel Gárate Cepa
Katusha 2016,Katusha 2015,Katusha,Katusha-Alpecin 2017,Viatcheslav Ekimov,Torsten Schmidt
Axeon-Hagens Berman 2016,Axeon 2015,Axeon-Hagens Berman,Axeon-Hagens Berman 2017,Axel Merckx,Jeff Louder
Memory Card-Jack & Jones 2000,Home-Jack & Jones 1999,Memory Card-Jack & Jones,CSC-Tiscali 2001,Torben Kølbæk,Bjarne Riis
Astana 2018,Astana 2017,Astana Pro Team,2019 Astana,Alexander Vinokourov,Serguei Yakovlev
Soul Brasil 2017,Funvic Soul Cycles-Carrefour 2016,Soul Brasil,Funvic-São José dos Campos 2018,Benedito Azevedo,Benedito Azevedo
BMC Racing 2017,BMC Racing 2016,BMC Racing,BMC Racing 2018,Jim Ochowicz,Fabio Baldato
BMC Racing 2018,BMC Racing 2017,BMC Racing Team,CCC Team 2019,Jim Ochowicz,Klaas Lodewyck
Israel Cycling Academy 2018,Israel Cycling Academy 2017,Israel Cycling Academy,2019 Israel Cycling Academy,Ran Margaliot,Kjell Carlström
