col0,col1,col2,col3
Real Sociedad,Donostialdea (region),Imanol Alguacil,Anoeta Stadium
Altay S.K.,İzmir Alsancak Stadium,Ümit Turmuş,İzmir Alsancak Stadium
Clydebank F.C.,West Dunbartonshire,Billy McGhie,Lochburn Park
Wick Academy F.C.,Highland,Barry Wilson,Harmsworth Park
Kelantan FA,Kota Bharu,Bojan Hodak,Sultan Mohammad IV Stadium
AC Horsens,Horsens Municipality,Bo Henriksen,CASA Arena Horsens
Sheffield United F.C.,Sheffield,Chris Wilder,Bramall Lane
FC Fyn,Odense Municipality,Jesper Tollefsen,Odense Atletikstadion
Annan Athletic F.C.,Dumfries and Galloway,Jim Chapman,Galabank
Umeå FC,Umeå Municipality,Johan Sandahl,T3 Arena
Nejmeh SC,Beirut,Moussa Hojeij,Al Manara Stadium
Hércules CF,Alicante,Claudio Barragán,Estadio José Rico Pérez
RCD Mallorca,Palma,Vicente Moreno,Son Moix
PFC Lokomotiv Plovdiv,Plovdiv,Eduard Eranosyan,Lokomotiv Stadium
Queen of the South F.C.,Dumfries and Galloway,Allan Johnston,Palmerston Park
