col0,col1,col2,col3
École antique de Nîmes,history,Dominique Darde,Musée archéologique de Nîmes
Associació de Catalanistes de l'Amèrica Llatina,catalanística,Alejandro Sánchez Castellanos,Barcelona
InFormAzionI,culture,Cristian Cenci,Busto Arsizio
History of Medicine Society,history of medicine,William Osler,London
American Sociological Association,sociology,Dorothy Swaine Thomas,1430 K Street
American Philosophical Association,philosophy,Penelope Maddy,University of Delaware
Geological Society of America,geology,James Hall,Boulder
Association for Symbolic Logic,philosophical logic,Julia F. Knight,Poughkeepsie
Archaeological Institute of America,archaeology,Charles Eliot Norton,Boston
Société Asiatique,Oriental studies,Jean-Pierre Mahé,Paris
American Political Science Association,political science,Samuel P. Huntington,"Washington, D.C."
"Société archéologique, historique, littéraire et scientifique du Gers",history,Georges Courtès,Auch
