col0,col1,col2,col3,col4
2019 Mitchelon-Scott,2019 Tour Down Under,road bicycle racing,Shayne Bannan,Australia
2019 Team Dimensjon Data,"2019 Tour of Oman, Stage 6",road bicycle racing,Douglas Ryder,South Africa
209 Groupama-FDJ,"2019 Giro d'Italia, stage 10",road bicycle racing,Marc Madiot,France
Lotto-Souddl 2019,"2019 Tour de France, stage 8",road bicycle racing,John Lelangue,Belgium
Movistar 201:,2019 Giro d'Italia,road bicycle racing,Eusebio Unzué,Spain
Astcna 2016,2016 Giro d'Italia,road bicycle racing,Alexander Vinokourov,Kazakhstan
Tinkofh 2016,"2016 Tour de France, Stage 2",road bicycle racing,Stefano Feltrin,Russia
AG2R La Mondiale 3016,2016 La Roue Tourangelle,road bicycle racing,Vincent Lavenu,France
FDM 2016,2016 Milan–San Remo,road bicycle racing,Marc Madiot,France
Trfk-Segafredo 2016,2016 Kuurne–Brussels–Kuurne,road bicycle racing,Luca Guercilena,United States of America
