col0,col1,col2,col3,col4,col5
Incarnate Word Cardinals women's basketball,women's basketball,1982-01-01,United States of America,Christy Smith,University of the Incarnate Word
Abilene Christian Wildcats women's basketball,women's basketball,1971-01-01,United States of America,Julie Goodenough,Abilene Christian University
Chattanooga Mocs women's basketball,women's basketball,1974-01-01,United States of America,Jim Foster,University of Tennessee at Chattanooga
Texas State Bobcats women's basketball,women's basketball,1966-01-01,United States of America,Zenarae Antoine,Texas State University
East Carolina Pirates women's basketball,women's basketball,1969-01-01,United States of America,Heather Macy,East Carolina University
Tulane Green Wave women's basketball,women's basketball,1975-01-01,United States of America,Lisa Stockton,Tulane University
Fordham Rams women's basketball,women's basketball,1970-01-01,United States of America,Stephanie Gaitley,Fordham University
UMass Minutewomen basketball,women's basketball,1968-01-01,United States of America,Tory Verdi,University of Massachusetts Amherst
Florida Gators women's basketball,women's basketball,1972-01-01,United States of America,Amanda Butler,Florida Gators
Lamar Lady Cardinals basketball,women's basketball,1969-01-01,United States of America,Robin Harmony,Lamar University
