col0,col1,col2
Sorafenib Tosylate With or Without Stereotactic Body Radiation Therapy in Treating Patients With Liver Cancer,Hong Kong,Radiation Therapy Oncology Group
Therapeutic Evaluation of Steroids in IgA Nephropathy Global Study (TESTING Low Dose Study),Hong Kong,The George Institute for Global Health
Sym015 (Anti-MET) in Patients With Advanced Solid Tumor Malignancies,Hong Kong,Symphogen
Orthotics and Achilles Load in Runners,Hong Kong,North District Hospital
Timing of Weight Bearing After Hallux Valgus Surgery,Hong Kong,North District Hospital
Efficacy and Safety of Clevudine Compared With Adefovir in Patients With HBeAg Positive Chronic Hepatitis Due to Hepatitis B Virus,Puerto Rico,Pharmasset
Efficacy and Safety of Clevudine Compared With Adefovir in Patients With Chronic Hepatitis Due to Hepatitis B Virus,Puerto Rico,Pharmasset
Pilot Study on Traditional Chinese Medicine and Food Allergy,Hong Kong,Hong Kong Sanatorium and Hospital
Diets in Symptom Relief and the Influence of Quality of Life in People With Irritable Bowel Syndrome,Hong Kong,Hong Kong Sanatorium and Hospital
Mast Cell Activation Test in Allergic Disease,Hong Kong,Hong Kong Sanatorium and Hospital
