col0,col1,col2,col3,col4,col5
2012 Hungarian Team Badminton Championships,2012-01-01,2011 Hungarian Team Badminton Championships,Debreceni Tollaslabda Club,2013 Hungarian Team Badminton Championships,Hungary
2004 Hungarian Team Badminton Championships,2004-01-01,2003 Hungarian Team Badminton Championships,Budapesti EAC,2005 Hungarian Team Badminton Championships,Hungary
2001 Hungarian Team Badminton Championships,2001-01-01,2000 Hungarian Team Badminton Championships,Budapesti EAC,2002 Hungarian Team Badminton Championships,Hungary
1996 Hungarian Team Badminton Championships,1996-01-01,1995 Hungarian Team Badminton Championships,Budapesti EAC,1997 Hungarian Team Badminton Championships,Hungary
1994 Hungarian Team Badminton Championships,1994-01-01,1993 Hungarian Team Badminton Championships,Budapesti EAC,1995 Hungarian Team Badminton Championships,Hungary
1992 Hungarian Team Badminton Championships,1992-01-01,1991 Hungarian Team Badminton Championships,Debreceni Tollaslabda Club,1993 Hungarian Team Badminton Championships,Hungary
1987 Hungarian Team Badminton Championships,1987-01-01,1986 Hungarian Team Badminton Championships,Debreceni Tollaslabda Club,1988 Hungarian Team Badminton Championships,Hungary
1985 Hungarian Team Badminton Championships,1985-01-01,1984 Hungarian Team Badminton Championships,Nyíregyházi VSSC,1986 Hungarian Team Badminton Championships,Hungary
1981 Hungarian Team Badminton Championships,1981-01-01,1980 Hungarian Team Badminton Championships,Műegyetemi AFC,1982 Hungarian Team Badminton Championships,Hungary
1969 Hungarian Team Badminton Championships,1969-01-01,1968 Hungarian Team Badminton Championships,Budapesti EAC,1970 Hungarian Team Badminton Championships,Hungary
1968 Hungarian Team Badminton Championships,1968-01-01,1967 Hungarian Team Badminton Championships,Műegyetemi AFC,1969 Hungarian Team Badminton Championships,Hungary
2011 Hungarian Team Badminton Championships,2011-01-01,2010 Hungarian Team Badminton Championships,Debreceni Tollaslabda Club,2012 Hungarian Team Badminton Championships,Hungary
1980 Hungarian Team Badminton Championships,1980-01-01,1979 Hungarian Team Badminton Championships,Műegyetemi AFC,1981 Hungarian Team Badminton Championships,Hungary
2000 Hungarian Team Badminton Championships,2000-01-01,1999 Hungarian Team Badminton Championships,Budapesti EAC,2001 Hungarian Team Badminton Championships,Hungary
