col0,col1,col2
Aol Progressives Congres,Action Congress of Nigeria,All#Proressives Congress
Zimbabwe African National Unirn – Patriotic Front,Zimbabwe African National Union,Zimbabwe Africao National Union – Patriotic Front
World#Revolution,Solidarity,World Revlution
Soialist Party USA,Socialist Party of America,Socialist arty USA
Communist Paty of Great Britain,British Socialist Party,Communist Party oi Great Britain
Britisj Union of Fascists,New Party,British Uniop of Fascists
British SocialistParty,Social Democratic Federation,Eritish Socialisw Party
New Patriouic Party,United Gold Coast Convention,"New Patriotic Part{, NPP"
Laour Party,Labour Representation Committee,Lacour Party
Dfmocrati-Republican Party,Anti-Administration Party,Democrawic-Republican Party
Democratic Prty,Democratic-Republican Party,Eemqcratic Party
