col0,col1,col2,col3,col4,col5
"Study of the Safety, Tolerability and Efficacy of BCT194 in Healthy Volunteers and Patients With Psoriasis.",phase I clinical trial,35,75,Austria,2006-11-01
Phase I Hepatitis C Vaccine Trial of Virosome-formulated Peptides,phase I clinical trial,30,45,Switzerland,2006-12-01
A Phase 1 Study Of PF-00868554 In Hepatitis C Virus (HCV) Positive Patients,phase I clinical trial,32,65,Belgium,2007-01-01
Study Evaluating HKI-272 Administered to Healthy Subjects,phase I clinical trial,56,50,United States of America,2006-07-01
"Safety of and Immune Response to a Cow/Human Parainfluenza Virus Vaccine (rB/HPIV3) in Healthy Infants, Children, and Adults",phase I clinical trial,51,49,United States of America,2007-03-01
A Study of the Effect of Renal Impairment on the Activity of GK Activator (2) in Patients With Type 2 Diabetes.,phase I clinical trial,5,75,United States of America,2006-01-01
A Study To Determine The Effect Of SB-480848 On Asthma,phase I clinical trial,67,65,United States of America,2006-08-01
Antidepressant Effects on cAMP Specific Phosphodiesterase (PDE4) in Depressed Patients,phase I clinical trial,100,55,United States of America,2006-08-02
FLOVENT Hydrofluoroalkane (HFA) In 6-12 Month Old Subjects,phase I clinical trial,16,12,United States of America,2006-08-30
Adenovirus Vaccine for Malaria,phase I clinical trial,75,45,United States of America,2007-01-01
Effects of Smoked Marijuana on Risk Taking and Decision Making Tasks,phase I clinical trial,36,45,United States of America,2006-05-01
Trial of pDNA CMV Vaccine (VCL-CT02) Followed by Towne CMV Vaccine (Towne) Challenge,phase I clinical trial,16,45,United States of America,2006-10-01
Real-Time Support for Exercise Persistence in COPD,phase I clinical trial,17,85,United States of America,2006-05-01
Experimental Vaccine for Prevention of Ebola Virus Infection,phase I clinical trial,48,50,United States of America,2006-09-05
Dynamic Posturographic Testing and Motor Learning Predictability in Gymnasts,phase I clinical trial,300,30,United States of America,2005-06-01
