col0,col1,col2,col3
Blackpink,Blackpink discography,Jennie,2016-01-01
Laboum,Laboum discography,Jung So Yeon,2014-08-28
I.O.I,I.O.I. discography,Jeon So-mi,2016-01-01
April,April discography,Jeon So Min,2015-08-24
GFriend,GFriend discography,Yerin,2015-01-01
Mamamoo,Mamamoo discography,Moon Byul,2014-06-18
Red Velvet,Red Velvet discography,Irene,2014-07-27
Stellar,Stellar discography,Kim Ga-young,2011-01-01
SNZ,SNZ discography,Sarah Sheeva,1997-01-01
CLC,CLC discography,Elkie,2015-01-01
Twice,Twice discography,La puta y el diablo,2015-10-20
AOA,AOA discography,Park Cho-a,2012-01-01
