col0,col1,col2
Hospital Nacional Rosales,Joseph Danly,building with patrimonial value
Hospital Nuncio Nuevo,Ignacio Haan,Bien de Interés Cultural
San Sebastián Hospital,Hernán Ruiz,Bien de Interés Cultural
Hospital de Santiago,Andrés de Vandelvira,Bien de Interés Cultural
Community Memorial Hospital,S. Wesley Haynes,place listed on the National Register of Historic Places
Battle Creek Sanitarium,Frank Mills Andrews,place listed on the National Register of Historic Places
Hôtel-Dieu de Lons-le-Saunier,Jean-Pierre Galezot,registered historic monument
The Octagon,Alexander Jackson Davis,place listed on the National Register of Historic Places
Turku University Hospital,Martta Martikainen-Ypyä,Cultural Heritage Site of National Significance
Society for the Lying-In Hospital,R. H. Robertson,place listed on the National Register of Historic Places
Waverly Hills Sanatorium,James J. Gaffney,place listed on the National Register of Historic Places
Ullevål University Hospital,Heinrich Ernst Schirmer,heritage site in Norway
