col0,col1,col2
2018 Connecticut Open,2018-01-01,Women's Tennis Association
2017 Connecticut Open,2017-01-01,Women's Tennis Association
2016 Connecticut Open,2016-01-01,Women's Tennis Association
2015 Connecticut Open,2015-01-01,Women's Tennis Association
2014 Connecticut Open,2014-01-01,Women's Tennis Association
2013 New Haven Open at Yale,2013-01-01,Women's Tennis Association
2009 Pilot Pen Tennis (women),2009-01-01,Women's Tennis Association
2008 Pilot Pen Tennis (women),2008-01-01,Women's Tennis Association
2010 Pilot Pen Tennis (women),2010-01-01,Women's Tennis Association
2007 Pilot Pen Tennis (women),2007-01-01,Women's Tennis Association
2004 Pilot Pen Tennis,2004-01-01,Women's Tennis Association
2006 Pilot Pen Tennis (women),2006-01-01,Women's Tennis Association
2003 Pilot Pen Tennis,2003-01-01,Women's Tennis Association
2005 Pilot Pen Tennis (women),2005-01-01,Women's Tennis Association
2000 Pilot Pen Tennis,2000-01-01,Women's Tennis Association
2002 Pilot Pen Tennis,2002-01-01,Women's Tennis Association
1999 Pilot Pen Tennis,1999-01-01,Women's Tennis Association
2001 Pilot Pen Tennis,2001-01-01,Women's Tennis Association
1998 Pilot Pen International (women),1998-01-01,Women's Tennis Association
2011 New Haven Open at Yale,2011-01-01,Women's Tennis Association
