col0,col1,col2,col3
Roman Catholic Diocese of Kalamazoo,English,1970-01-01,Michigan
diocese of Joliette,French,1904-01-27,Quebec
diocese of Mont-Laurier,French,1913-04-21,Laurentides
Roman Catholic Diocese of Magdeburg,Latin,1994-01-01,Ecclesiastical province of Paderborn
Roman Catholic Diocese of Owensboro,English,1937-01-01,Kentucky
Roman Catholic Diocese of Metuchen,English,1981-01-01,New Jersey
Roman Catholic Diocese of Greensburg,English,1951-01-01,Pennsylvania
Roman Catholic Diocese of Peoria,English,1875-01-01,Illinois
Roman Catholic Diocese of Aachen,Latin,1930-08-13,North Rhine-Westphalia
Roman Catholic Diocese of Essen,German,1958-01-01,North Rhine-Westphalia
Roman Catholic Diocese of Saginaw,English,1938-01-01,Michigan
Roman Catholic Diocese of Celje,Slovene,2006-01-01,Celje
Roman Catholic Diocese of Baker,English,1903-01-01,Oregon
