col0,col1,col2,col3
Cabinet of Jens Otto Krag I,Cabinet of Jens Otto Krag II,Denmark,Cabinet of Viggo Kampmann II
Cabinet of Hans Hedtoft II,Cabinet of H. C. Hansen I,Denmark,Cabinet of Erik Eriksen
Cabinet of H. C. Hansen I,Cabinet of H. C. Hansen II,Denmark,Cabinet of Hans Hedtoft II
Cabinet of Jens Otto Krag III,Cabinet of Anker Jørgensen I,Denmark,Cabinet of Hilmar Baunsgaard
Cabinet of Anker Jørgensen I,Cabinet of Poul Hartling,Denmark,Cabinet of Jens Otto Krag III
Cabinet of Poul Hartling,Cabinet of Anker Jørgensen II,Denmark,Cabinet of Anker Jørgensen I
Cabinet of Poul Schlüter I,Cabinet of Poul Schlüter II,Denmark,Cabinet of Anker Jørgensen V
Cabinet of Poul Schlüter II,Cabinet of Poul Schlüter III,Denmark,Cabinet of Poul Schlüter I
Cabinet of Poul Nyrup Rasmussen I,Cabinet of Poul Nyrup Rasmussen II,Denmark,Cabinet of Poul Schlüter IV
Cabinet of Poul Nyrup Rasmussen IV,Cabinet of Anders Fogh Rasmussen I,Denmark,Cabinet of Poul Nyrup Rasmussen III
Cabinet of Lars Løkke Rasmussen I,Cabinet of Helle Thorning-Schmidt,Denmark,Cabinet of Anders Fogh Rasmussen III
