col0,col1,col2,col3,col4,col5
Mercer Bears women's basketball,NCAA Division I women's basketball team,basketball,Southern Conference,Hawkins Arena,Bears
Furman Paladins women's basketball,NCAA Division I women's basketball team,basketball,Southern Conference,Timmons Arena,Paladins
Radford Highlanders women's basketball,NCAA Division I women's basketball team,basketball,Big South Conference,Dedmon Center,Highlanders
South Florida Bulls women's basketball,NCAA Division I women's basketball team,basketball,American Athletic Conference,USF Sun Dome,Bulls
Murray State Racers women's basketball,NCAA Division I women's basketball team,basketball,Ohio Valley Conference,CFSB Center,Racers
Dartmouth Big Green women's basketball,NCAA Division I women's basketball team,basketball,Ivy League,Leede Arena,Big Green
Southern Illinois Salukis women's basketball,NCAA Division I women's basketball team,basketball,Missouri Valley Conference,SIU Arena,Salukis
College of Charleston Cougars women's basketball,NCAA Division I women's basketball team,basketball,Colonial Athletic Association,TD Arena,Cougars
Eastern Washington Eagles women's basketball,NCAA Division I women's basketball team,basketball,Big Sky Conference,Reese Court,Eagles
James Madison Dukes women's basketball,NCAA Division I women's basketball team,basketball,Colonial Athletic Association,James Madison University Convocation Center,Dukes
Ole Miss Rebels women's basketball,NCAA Division I women's basketball team,basketball,Southeastern Conference,The Pavilion at Ole Miss,Rebels
UC Santa Barbara Gauchos women's basketball,NCAA Division I women's basketball team,basketball,Big West Conference,UC Santa Barbara Events Center,Gauchos
Maine Black Bears women's basketball,NCAA Division I women's basketball team,basketball,America East Conference,Cross Insurance Center,Black Bears
Virginia Tech Hokies women's basketball,NCAA Division I women's basketball team,basketball,Atlantic Coast Conference,Cassell Coliseum,Hokies
Cal State Northridge Matadors women's basketball,NCAA Division I women's basketball team,basketball,Big West Conference,Matadome,Matadors
