col0,col1,col2,col3,col4,col5
Plumas County,1854-01-01,Feather River,Quincy,United States of America,California
Amador County,1854-01-01,José María Amador,Jackson,United States of America,California
Lake County,1861-01-01,Clear Lake,Lakeport,United States of America,California
Yuba County,1850-01-01,Yuba River,Marysville,United States of America,California
El Dorado County,1850-01-01,El Dorado,Placerville,United States of America,California
Mono County,1861-04-21,Mono Lake,Bridgeport,United States of America,California
Los Angeles County,1850-01-01,Los Angeles,Bradbury,United States of America,California
Butte County,1850-01-01,Sutter Buttes,Oroville,United States of America,California
Mendocino County,1850-02-18,Antonio de Mendoza,Ukiah,United States of America,California
Los Angeles County,1850-01-01,Los Angeles,Azusa,United States of America,California
Glenn County,1891-01-01,Hugh J. Glenn,Willows,United States of America,California
Placer County,1851-01-01,Placer mining,Auburn,United States of America,California
