col0,col1,col2,col3
The Makemakes,rock band,Makemake,2012-01-01
AnnenMayKantereit,rock band,Christopher Annen,2011-01-01
Rufus T. Firefly,rock band,Duck Soup,2006-01-01
AnnenMayKantereit,pop group,Christopher Annen,2011-01-01
Pussy Riot,collective,riot,2011-01-01
Soundgarden,rock band,A Sound Garden,1984-01-01
The Doors,rock band,The Doors of Perception,1965-01-01
AC/DC,rock band,alternating current,1973-12-31
Motörhead,rock band,Motorhead,1975-01-01
Guns N' Roses,rock band,Axl Rose,1985-01-01
