col0,col1,col2,col3,col4,col5
Migdalim,790,State of Palestine,269,Shomron Regional Council,UTC+02:00
Eli-ad,365,Israeli-occupied territories,375,Golan Regional Council,UTC+02:00
Hatzeva,-157,Israel,566,Central Arava Regional Council,UTC+02:00
Ein Yahav,-88,Israel,665,Central Arava Regional Council,UTC+02:00
Eyal,72,Israel,482,Drom HaSharon Regional Council,UTC+02:00
Tzur Natan,158,Israel,296,Drom HaSharon Regional Council,UTC+02:00
Nitzanei Oz,40,Israel,1105,Lev HaSharon Regional Council,UTC+02:00
Ma'ale Gilboa,389,Israel,671,Valley of Springs Regional Council,UTC+02:00
Meirav,422,Israel,670,Valley of Springs Regional Council,UTC+02:00
Holit,73,Israel,147,Eshkol Regional Council,UTC+02:00
