col0,col1,col2
Narrenzunft Sattelbach City,Horgenzell,Sattelbach
Narrenzunft Pfärrenbach Rotacher Natwiebla,Horgenzell,Pfärrenbach
Narrenverein Hasenweiler,Horgenzell,Hasenweiler
Narrenzunft Schilfgeister Elmenau,Neukirch,Elmenau
Heimat- und Narrenverein Völlkofen,Hohentengen,Völlkofen
Verein de Rietvogl Villingen,Villingen-Schwenningen,Villingen
Narrenzunft Schussenhexe Mariabrunn-Eriskirch 1996,Eriskirch,Mariabrunn
Narrenzunft Hebsack-Geister Wittenhofen-Roggenbeuren,Deggenhausertal,Roggenbeuren
Burghexen Weithart,Ostrach,Weithart
Narrenzunft Deuchelrieder Deichelmännle,Wangen im Allgäu,Deuchelried
Narrenvereinigung Untersigginger Füchse,Deggenhausertal,Untersiggingen
Narrenzunft Rommelsbach,Reutlingen,Rommelsbach
Narrenzunft Wuchzenhofen,Leutkirch im Allgäu,Wuchzenhofen
