col0,col1,col2,col3,col4,col5
SK Latvijas Avīze,1994-01-01,Latvia,Riga,floorball,Riga
SSV Helsinki,1986-01-01,Finland,Helsinki,floorball,Helsinki
Eimsbütteler TV,1889-01-01,Germany,Eimsbüttel,athletics,Eimsbüttel
Vålerengens IF,1913-01-01,Norway,Oslo,association football,Oslo
UHC Winterthur United,1996-01-01,Switzerland,Winterthur,floorball,canton of Zürich
Tenhults IBK,1988-01-01,Sweden,Tenhult,floorball,Tenhult
Carlskrona IF,1988-01-01,Sweden,Karlskrona Municipality,floorball,Karlskrona Municipality
IBK Sundsvall,1986-01-01,Sweden,Sundsvall Municipality,floorball,Sundsvall Municipality
Olofströms IBK,1986-01-01,Sweden,Olofström Municipality,floorball,Olofström Municipality
IBF NB 87,1987-01-01,Sweden,Karlstad Municipality,floorball,Karlstad Municipality
