col0,col1,col2,col3,col4,col5,col6
Phase II Study of Dose-Adjusted EPOCH-Rituximab in Adults With Untreated Burkitt Lymphoma and c-MYC+ Diffuse Large B-Cell Lymphoma,194,rituximab,2021-02-28,phase II clinical trial,National Institutes of Health,lymphoma
Standard-Dose Combination Chemotherapy or High-Dose Combination Chemotherapy and Stem Cell Transplant in Treating Patients With Relapsed or Refractory Germ Cell Tumors,420,cisplatin,2024-06-01,phase III clinical trial,University of North Carolina at Chapel Hill,teratoma
Osimertinib and Navitoclax in Treating Patients With EGFR-Positive Previously Treated Advanced or Metastatic Non-small Cell Lung Cancer,50,navitoclax,2019-07-30,phase I clinical trial,Duke University,carcinoma
Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,598,folic acid,2022-10-31,phase III clinical trial,University of Pittsburgh,leukemia
Standard-Dose Combination Chemotherapy or High-Dose Combination Chemotherapy and Stem Cell Transplant in Treating Patients With Relapsed or Refractory Germ Cell Tumors,420,etoposide,2024-06-01,phase III clinical trial,Loma Linda University,seminoma
"Olaparib and Cediranib Maleate in Treating Patients With Recurrent Ovarian, Primary Peritoneal, or Fallopian Tube Cancer",70,maleic acid,2019-10-31,phase II clinical trial,Mayo Clinic,adenocarcinoma
Dabrafenib and Trametinib in Treating Patients With Stage III-IV BRAF Mutant Melanoma That Cannot Be Removed by Surgery,280,dabrafenib,2020-06-15,phase II clinical trial,Loma Linda University,melanoma
"Olaparib and Cediranib Maleate in Treating Patients With Recurrent Ovarian, Primary Peritoneal, or Fallopian Tube Cancer",70,maleic acid,2019-10-31,phase II clinical trial,Mayo Clinic,carcinoma
Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,598,folic acid,2022-10-31,phase III clinical trial,Université du Québec à Trois-Rivières,leukemia
Combination Chemotherapy With or Without Temsirolimus in Treating Patients With Intermediate Risk Rhabdomyosarcoma,397,everolimus,2023-03-01,phase III clinical trial,Wake Forest University,rhabdomyosarcoma
Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,3021,diclofenac,2018-10-01,phase III clinical trial,Chungnam National University,chronic pain
