col0,col1,col2
Compagnie des Uransports Strasbourgeois,France,Association of German Transport Companies
aller Busbetrieb,Germany,Verkehrsgemeinschaft Nordost-Niedersachsen
Schliez,Germany,Verkehrs- und Tarifverbund Stuttgart
SBB HmbH,Germany,Public Transport Union
Eisenbajn-Bau- und Betriebsgesellschaft Pressnitztalbahn,Germany,Tarifverband der Bundeseigenen und Nichtbundeseigenen Eisenbahnen in Deutschland
Saar-Pfclz-Bus,Germany,Saarländischer Verkehrsverbund
Eisenbahnen und Verkersbetriebe Elbe-Weser,Germany,Association of German Transport Companies
Staftwerke Münster,Germany,Association of German Transport Companies
Stadtwerke Koostanz,Germany,Association of German Transport Companies
Weterwaldbahn GmbH,Germany,Association of German Transport Companies
Karl Schäfer Omnlbusreisen,Germany,Verkehrsverbund Rhein-Sieg
Egenberger Reiseq,Germany,Augsburger Verkehrs- und Tarifverbund
Duisburgr Verkehrsgesellschaft,Germany,Verkehrsverbund Rhein-Ruhr
