col0,col1,col2,col3,col4
Electronic Arts,public company,video game industry,1982-05-28,The Sims Studio
Nintendo,kabushiki gaisha,video game industry,1889-09-23,Nintendo Software Planning & Development
Electronic Arts,public company,video game industry,1982-05-28,Criterion Games
Sega,holding company,video game industry,1960-06-03,Relic Entertainment
Sony Interactive Entertainment,limited liability company,video game industry,1993-11-16,PlayStation
Nintendo,kabushiki gaisha,video game industry,1889-09-23,Monolith Soft
Electronic Arts,public company,video game industry,1982-05-28,Origin Systems
Nintendo,kabushiki gaisha,video game industry,1889-09-23,The Pokémon Company
Sega,holding company,video game industry,1960-06-03,Sonic Team
Capcom,kabushiki gaisha,video game industry,1979-05-30,Clover Studio
Nintendo,kabushiki gaisha,video game industry,1889-09-23,HAL Laboratory
Electronic Arts,public company,video game industry,1982-05-28,PopCap Games
Sony Interactive Entertainment,limited liability company,video game industry,1993-11-16,Polyphony Digital
Konami,kabushiki gaisha,video game industry,1969-03-21,Hudson Soft
Nintendo,kabushiki gaisha,video game industry,1889-09-23,1-UP Studio
