col0,col1,col2,col3,col4,col5,col6
1667 papal conclave,1667-06-02,1669–70 papal conclave,Clement IX,Clement IX,pope,Apostolic Palace
1559 papal conclave,1559-09-15,1565–66 papal conclave,Otto Truchsess von Waldburg,Pius IV,pope,Apostolic Palace
1667 papal conclave,1667-06-02,1669–70 papal conclave,Ernst Adalbert von Harrach,Clement IX,pope,Apostolic Palace
July 1276 papal conclave,1276-07-09,September 1276 papal election,Nicholas III,Adrian V,pope,Archbasilica of St. John Lateran
October–December 1590 papal conclave,1590-10-08,1591 papal conclave,Gregory XIV,Gregory XIV,pope,Apostolic Palace
1334 papal conclave,1334-12-21,1342 papal conclave,Benedict XII,Benedict XII,pope,Palais des Papes
1513 papal conclave,1513-03-13,1521–22 papal conclave,Leo X,Leo X,pope,Sistine Chapel
1903 papal conclave,1903-07-31,1914 papal conclave,Pius X,Pius X,pope,Sistine Chapel
1592 papal conclave,1592-01-10,March 1605 papal conclave,Clement VIII,Clement VIII,pope,Apostolic Palace
1724 papal conclave,1724-03-20,1730 papal conclave,Clement XII,Benedict XIII,pope,Apostolic Palace
1700 papal conclave,1700-10-09,1721 papal conclave,Clement XI,Clement XI,pope,Apostolic Palace
1342 papal conclave,1342-05-13,1352 papal conclave,Clement VI,Clement VI,pope,Palais des Papes
1644 papal conclave,1644-08-09,1655 papal conclave,Ernst Adalbert von Harrach,Innocent X,pope,Apostolic Palace
1669–70 papal conclave,1669-12-20,1676 papal conclave,Giovanni Bona,Clement X,pope,Apostolic Palace
1621 papal conclave,1621-02-08,1623 papal conclave,Marcello Lante della Rovere,Gregory XV,pope,Apostolic Palace
