col0,col1,col2
Hacettepe University,50000,3495
University of Belgrade Faculty of Law,8000,115
Süleyman Demirel University,51000,2000
Georgia State University,30263,1716
Ural Federal University,57000,5640
University of Oviedo,27284,2154
Aix-Marseille University,63948,8000
Vasile Goldiș Western University of Arad,14762,375
University of West Bohemia,10525,2264
Namık Kemal University,14000,560
University of Montenegro,10600,1273
University of Havana,60000,1910
Belarusian National Technical University,28000,1800
National University of La Plata,98954,10900
University of Córdoba,21000,1900
University of Naples Federico II,78324,5310
University of Klagenfurt,11553,1500
Arizona State University,42844,4400
University of Vigo,20826,2080
Akdeniz University,17061,1578
