col0,col1,col2,col3,col4,col5
Roman Catholic Archdiocese of Taranto,Taranto,1056.0,Filippo Santoro,Roman Catholic Diocese of Conversano-Monopoli,Catholicism
Roman Catholic Archdiocese of Natal,Natal,25153.0,Jaime Vieira Rocha,Roman Catholic Archdiocese of Paraíba,Catholicism
Roman Catholic Archdiocese of Sorocaba,Sorocaba,4.178,Júlio Endi Akamine,Roman Catholic Diocese of Osasco,Catholicism
Roman Catholic Archdiocese of Tarragona,Tarragona,3146.6,Joan Planellas Barnosell,Roman Catholic Diocese of Solsona,Catholicism
Roman Catholic Archdiocese of Toulouse,Toulouse,6372.0,Robert Le Gall,Roman Catholic Diocese of Carcassonne-Narbonne,Catholicism
Roman Catholic Archdiocese of Albi,Albi,5785.0,Jean Legrez,Roman Catholic Diocese of Carcassonne-Narbonne,Latin Church
Roman Catholic Archdiocese of New Orleans,New Orleans,10898.0,Gregory Michael Aymond,Roman Catholic Diocese of Jackson,Catholic Church
Roman Catholic Archdiocese of Mexico,Mexico City,7998.0,Carlos Aguiar Retes,Roman Catholic Diocese of Netzahualcóyotl,Catholic Church
Roman Catholic Archdiocese of Nouméa,Noumea,18575.0,Michel-Marie-Bernard Calvet,Roman Catholic Diocese of Auckland,Catholic Church
Roman Catholic Archdiocese of Manfredonia-Vieste-S. Giovanni Rotondo,Manfredonia,1665.0,Franco Moscone,Roman Catholic Diocese of San Severo,Catholicism
Roman Catholic Archdiocese of Durango,Durango,82017.0,Faustino Armendáriz Jiménez,Roman Catholic Diocese of Gómez Palacio,Catholicism
Roman Catholic Archdiocese of San Luis Potosí,Zacatecas Zacatecas,19428.0,Jesús Carlos Cabrero Romero,Roman Catholic Diocese of Celaya,Catholicism
Roman Catholic Archdiocese of Sorrento-Castellammare di Stabia,Sorrento,205.0,Francesco Alfano,Roman Catholic Diocese of Nocera Inferiore-Sarno,Catholicism
Roman Catholic Archdiocese of Pamplona y Tudela,Pamplona,10421.0,Francisco Pérez González,Roman Catholic Diocese of Jaca,Catholicism
