col0,col1,col2
Royal Academy of Sciences and Arts of Barcelona,Building of the Royal Academy of Sciences and Arts of Barcelona,1764-01-01
Real Academia de Medicina y Cirugía de Andalucía Oriental,Facultad de Medicina (Universidad de Granada),1757-01-01
Real Academia de Bellas Artes de San Telmo,Palacio de la Aduana,1849-01-01
Rural Development Academy,Bogura,1974-01-01
Real Academia de Medicina y Cirugía de Cádiz,Cádiz,1831-01-15
"Real Academia San Dionisio de Ciencias, Artes y Letras de Jerez de la Frontera",Jerez de la Frontera,1948-10-12
Academia Provincial de Dibujo de Burgos,Burgos,1786-01-01
Academia de Letras Humanas de Sevilla,Seville,1793-05-01
"Real Academia de Ciencias, Bellas Letras y Nobles Artes de Córdoba",Córdoba,1810-11-11
Guarani Language Academy,Asunción,2013-06-12
Real Academia Española,Madrid,1713-01-01
Academia Venezolana de la Lengua,Caracas,1883-04-10
Academia de los Desconfiados,Barcelona,1700-01-01
Real Academia de Ciencias Económicas y Financieras,Barcelona,1940-01-01
Colegio Nacional,Mexico City,1943-04-08
Shishu Academy,Dhaka,1976-01-01
Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation,Moscow,1934-01-01
Akademie för uns Kölsche Sproch,Cologne,1983-01-01
"European Academy of Science, Arts and Letters",Paris,1980-05-24
Euskaltzaindia,Euskaltzaindia's headquarters,1918-01-01
