col0,col1,col2,col3,col4,col5
1986 Asian Winter Games,Fahad Al-Ahmed Al-Jaber Al-Sabah,Okurayama Ski Jump Stadium,ski jumping,293,Olympic Council of Asia
2011 European Youth Olympic Winter Festival,Václav Klaus,Liberec,ski jumping,933,European Olympic Committees
2011 European Youth Summer Olympic Festival,Recep Tayyip Erdoğan,Trabzon,athletics,3138,European Olympic Committees
2009 European Youth Summer Olympic Festival,Tarja Halonen,Tampere,athletics,3302,European Olympic Committees
2017 European Youth Olympic Winter Festival,Recep Tayyip Erdoğan,Erzurum,ski jumping,646,European Olympic Committees
2017 European Youth Summer Olympic Festival,János Áder,Győr,athletics,3675,European Olympic Committees
1981 Summer Universiade,Nicolae Ceaușescu,Bucharest,summer sport,2912,International University Sports Federation
1964 Winter Universiade,Antonín Novotný,Špindlerův Mlýn,winter sport,410,International University Sports Federation
1972 Winter Universiade,Richard Nixon,Lake Placid,winter sport,410,International University Sports Federation
1970 Winter Universiade,Urho Kekkonen,Rovaniemi,winter sport,591,International University Sports Federation
1960 Winter Universiade,Charles de Gaulle,Chamonix-Mont-Blanc,winter sport,145,International University Sports Federation
1981 Winter Universiade,Juan Carlos I,Jaca,winter sport,583,International University Sports Federation
1975 Winter Universiade,Giovanni Leone,Livigno,winter sport,191,International University Sports Federation
