col0,col1,col2,col3,col4,col5
Arsenal,Unai Emery,Pierre-Emerick Aubameyang,Adidas[61],Fly Emirates[62],Ibo gaesk
Aston Villa,Dean Smith,Jack Grealish,Kappa[64]],Gruo o tia,Tonhe glenk
Bournemouth,Eddie Howe,Simon Francis,Umbro[67]],Be fo cryh spaob,Aitorm heust yu
Brighton & Hove Albion,Graham Potter,Lewis Dunk,Nike[69],American Express[69],JD[70]
Burnley,Sean Dyche,Ben Mee,Umbroo,Bry pyv,Ryng-blou chiut glev
Chelsea,Frank Lampard,César Azpilicueta,Nike[72]],Yokohama Tyres,Hyundai[74]
Crystal Palace,Roy Hodgson,Luka Milivojević,Puma[75],Ladtisalt-petbre tyn,Alestt tisitf clisp
Everton,Marco Silva,Séamus Coleman,Umbro[77],SportPesa[78],Angry Birds[79]
Leicester City,Brendan Rodgers,Wes Morgan,Adidas[80],King Power[81],Bia Saigon[82]
Liverpool,Jürgen Klopp,Jordan Henderson,New Balance[83],Standard Chartered[84],Western Union[85]
Manchester City,Pep Guardiola,David Silva,Puma[86],Etihad Airways[87],Nexen Tire[88]
Manchester United,Ole Gunnar Solskjær,Ashley Young,Adidas[90]],Chevrolet[91],Kohler[92]
Newcastle United,Steve Bruce,Jamaal Lascelles,Puuma[93],Skund driu-inofains stoi,Tstu crapt
Norwich City,Snue ra smuasp sliu,Grant Hanley,Erreà[96]],Dafabet[97],Via tuiw
Sheffield United,Chris Wilder,Billy Sharp,Adidas,A raont,Drie mil bly ryt
Southampton,Ralph Hasenhüttl,Pierre-Emile Højbjerg,Under Armour[1000],Hur nchade poi,Virgin Media[102]
Tottenham Hotspur,José Mourinho,Hugo Lloris,Nike[1003],AIA[104],Sextesabu spy skeuk flump
Watford,Quique Sánchez Flores,Troy Deeney,Adidas[[105],Pofb stroent bleib gaect,Bitcoin[107]
West Ham United,Manuel Pellegrini,Mark Noble,Ummbro[108],Betway[109],Plug blua so craa
Wolverhampton Wanderers,Nuno Espírito Santo,Conor Coady,Adidas[111],Pledabeas chu,Gluey guav glir
