col0,col1,col2,col3,col4
Paris Psychoanalytic Society,France,1926-01-01,professional society,Paris
Gesellschaft für Informatik,Germany,1969-01-01,professional society,Berlin
Deutsche Röntgengesellschaft,Germany,1905-01-01,professional society,Berlin
Deutsche Gesellschaft für Kartographie,Germany,1950-01-01,professional society,Hanover
Deutsche Gesellschaft für Asienkunde,Germany,1966-03-17,professional society,Hamburg
Deutsche Gesellschaft für Andrologie,Germany,1976-01-01,professional society,Gießen
Deutsche Gesellschaft für Allgemeinmedizin und Familienmedizin,Germany,1966-01-01,professional society,Bonn
Deutsche Gesellschaft für Anästhesiologie und Intensivmedizin,Germany,1953-01-01,professional society,Heidelberg
Deutsche Gesellschaft für Arbeitsmedizin und Umweltmedizin,Germany,1962-01-01,professional society,Munich
Deutsche Gesellschaft für Angiologie,Germany,1972-01-01,professional society,Frankfurt am Main
