col0,col1,col2,col3,col4,col5
UCLA School of Public Health,California,graduate school,United States of America,1961-01-01,"University of California, Los Angeles"
Rollins School of Public Health,Georgia,graduate school,United States of America,1990-01-01,Emory University
Melbourne Law School,Victoria,graduate school,Australia,1857-01-01,University of Melbourne
Faculty of Physical and Mathematical Sciences of the University of Chile,Santiago,graduate school,Chile,1842-11-19,University of Chile
George Warren Brown School of Social Work,St. Louis,graduate school,United States of America,1925-01-01,Washington University in St. Louis
Florida Interactive Entertainment Academy,Orlando,graduate school,United States of America,2004-01-01,University of Central Florida
Harvard Graduate School of Design,Cambridge,graduate school,United States of America,1936-01-01,Harvard University
"Graduate Center, CUNY",Manhattan,graduate school,United States of America,1961-01-01,City University of New York
École Centrale de Lille,Villeneuve-d'Ascq,graduate school,France,1854-10-01,Centrale Graduate School
La vagancia,Cambridge,graduate school,United States of America,1817-01-01,Harvard University
Faculty of Economics and Business Administration of Iasi,Iași,faculty of economics,Romania,1962-07-19,Alexandru Ioan Cuza University
École Centrale de Lille,Villeneuve-d'Ascq,institute of technology,France,1854-10-01,Centrale Graduate School
"Faculty of Law of ""Alexandru Ioan Cuza"" University of Iași",Iași,law school,Romania,1855-10-06,Alexandru Ioan Cuza University
Melbourne Law School,Victoria,law school,Australia,1857-01-01,University of Melbourne
La vagancia,Cambridge,law school,United States of America,1817-01-01,Harvard University
