col0,col1,col2,col3,col4,col5,col6
2019 Katusha-Alpecin,"2019 Giro d'Italia, stage 13",Katusha-Alpecin,José Azevedo,Katusha-Alpecin,2019-12-31,Katusha-Alpecin 2018
Dimension Data 2016,"2016 Tour de France, Stage 1",NTT Pro Cycling Team,Brian Smith,Dimension Data,2016-12-31,MTN-Qhubeka 2015
Cannondale-Drapac 2016,"2016 Tour du Haut Var, Stage 1",EF Pro Cycling,Jonathan Vaughters,Cannondale,2016-12-31,Cannondale-Garmin 2015
BMC Racing 2016,2016 Omloop Het Nieuwsblad,CCC Team,Jim Ochowicz,BMC Racing,2016-12-31,BMC Racing 2015
2020 Astana,2020 Vuelta a Andalucía,Astana,Alexander Vinokourov,Astana Pro Team,2020-12-31,2019 Astana
Jumbo-Visma 2019,"2019 Tour de France, stage 1",Team Jumbo-Visma,Richard Plugge,Jumbo-Visma,2019-12-31,Lotto NL-Jumbo 2018
Sunweb 2019,2019 Grand Prix Cycliste de Québec,Team Sunweb,Iwan Spekenbrink,Team Sunweb,2019-12-31,Sunweb 2018
Trek-Segafredo 2018,"2018 Danmark Rundt, stage 4",Trek-Segafredo,Luca Guercilena,Trek-Segafredo,2018-12-31,Trek-Segafredo 2017
Tinkoff 2016,"2016 Tour de France, Stage 2",Tinkoff,Stefano Feltrin,Tinkoff,2016-12-31,Tinkoff-Saxo 2015
Trek-Segafredo 2016,2016 Kuurne–Brussels–Kuurne,Trek-Segafredo,Luca Guercilena,Trek-Segafredo,2016-12-31,Trek Factory Racing 2015
Lotto-Soudal 2019,"2019 Tour de France, stage 8",Lotto-Soudal,John Lelangue,Lotto Soudal,2019-12-31,Lotto-Soudal 2018
