col0,col1,col2,col3,col4,col5,col6,col7
TUI fly Deutschland,1972-01-01,Hannover Airport,Langenhagen,TUI Travel,charter airline,Germany,Boeing 737
flydubai,2008-01-01,Dubai International Airport,Dubai,Government of Dubai,state-owned enterprise,United Arab Emirates,Boeing 737 MAX
Frontier Airlines,1994-01-01,Denver International Airport,Denver,Republic Airways Holdings,low-cost airline,United States of America,A320 family
flydubai,2008-01-01,Dubai International Airport,Dubai,Government of Dubai,low-cost airline,United Arab Emirates,Boeing 737 MAX
Vueling,2004-01-01,Josep Tarradellas Airport Barcelona-El Prat,San luca de barrameda,International Airlines Group,low-cost airline,Spain,A320 family
TUI fly Deutschland,1972-01-01,Hannover Airport,Langenhagen,TUI Travel,low-cost airline,Germany,Boeing 737
Norwegian Air Shuttle,1993-01-22,Rome,Fornebu,International Airlines Group,low-cost airline,United Kingdom,Boeing 787 Dreamliner
Frontier Airlines,1994-01-01,Denver International Airport,Denver,Republic Airways Holdings,airline,United States of America,A320 family
flydubai,2008-01-01,Dubai International Airport,Dubai,Government of Dubai,airline,United Arab Emirates,Boeing 737 MAX
TUI fly Deutschland,1972-01-01,Hannover Airport,Langenhagen,TUI Travel,airline,Germany,Boeing 737
Norwegian Air Shuttle,1993-01-22,Rome,Fornebu,International Airlines Group,low-cost airline,Sweden,Boeing 787 Dreamliner
Norwegian Long Haul,2012-01-01,"Oslo Airport, Gardermoen",Bærum,Norwegian Air Shuttle,low-cost airline,Norway,Boeing 787-9
Tiger Airways,2003-12-12,Singapore Changi Airport,Singapore,Budget Aviation Holdings,airline,Singapore,A320 family
Norwegian Long Haul,2012-01-01,Gatwick Airport,Bærum,Norwegian Air Shuttle,low-cost airline,Norway,Boeing 787-9
flydubai,2008-01-01,Dubai International Airport,Dubai International Airport,Government of Dubai,low-cost airline,United Arab Emirates,Boeing 737 MAX
