col0,col1,col2,col3,col4,col5
Lac-au-Brochet,5,unorganized area in Quebec,Canada,Forestville,9645.17
Lac-Walker,108,unorganized area in Quebec,Canada,Rivière-Mouchalagane,17683.27
Lac-Vacher,0,unorganized area in Quebec,Canada,Schefferville,542.8
Lac-Santé,0,unorganized area in Quebec,Canada,Lac-de-la-Maison-de-Pierre,12.41
Lac-Pythonga,2,unorganized area in Quebec,Canada,Senneterre,5934.7
Lac-Pikauba,0,unorganized area in Quebec,Canada,Baie-Saint-Paul,2512.5
Lac-Nilgaut,5,unorganized area in Quebec,Canada,Otter Lake,9070.65
Lac-Normand,5,unorganized area in Quebec,Canada,La Tuque,2171.2
Lac-Moselle,0,unorganized area in Quebec,Canada,Senneterre,1270.3
Lac-Moncouche,0,unorganized area in Quebec,Canada,La Tuque,260.2
Lac-Ministuk,43,unorganized area in Quebec,Canada,Saguenay,1495.4
Lac-Metei,0,unorganized area in Quebec,Canada,Senneterre,71.92
Lac-Minaki,0,unorganized area in Quebec,Canada,Rivière-de-la-Savane,82.07
