col0,col1,col2
Caffyns,1865-01-01,private company limited by shares
Autonomy Corporation,1996-01-01,private company limited by shares
VOLEX PLC,1919-09-19,public limited company
Lanka IOC,2002-01-01,public limited company
Sanne Group,1988-01-01,public limited company
TechnipFMC,2017-01-17,public limited company
India Transact Services Limited,2007-01-01,public limited company
Narayana Superspeciality Hospital,2004-01-01,public limited company
Kelly's of Cornwall,1890-01-01,public limited company
Share plc,1994-02-01,public limited company
Nigeria Mortgage Refinance Company,2013-06-24,public limited company
Kenanga,1973-01-01,public limited company
Hill & Smith,1824-01-01,public limited company
Colonial Motor Company,1911-01-01,public limited company
Lakehouse,1988-01-01,public limited company
Ibstock plc,1899-01-01,public limited company
Tanzania Cigarette Company,1961-01-01,public limited company
United Finance,1989-01-01,public limited company
