col0,col1,col2
"Slavic-Byzantium Research Center ""Prof. Ivan Duichev""",Slavic studies,1986-05-14
Scientific research center of the National Museum of the MnhnL,zoology,1982-11-10
Centre international de recherche de l'Historial de la Grande guerre,World War I,1992-01-01
Copenhagen Center for Health Technology,health technology,2015-10-01
Kalpana Chawla Space Technology Cell,space technology,1998-07-01
Georgetown Lombardi Comprehensive Cancer Center,oncology,1970-01-01
Mediterranean Institute for Advanced Studies,oceanography,1986-01-01
Stanford Cancer Institute,medicine,2004-01-01
Department of Plant Biology,science,1903-01-01
Leibniz Institute for East and Southeast European Studies,Balkan studies,2012-01-01
Centre de musique romantique française,romantic music,1697-01-01
Poëziecentrum,performing arts,1976-01-01
Khan Research Laboratories,space exploration,1976-07-31
American Welding Society,welding,1919-03-28
Hoover Institution,social science,1919-01-01
SLAC National Accelerator Laboratory,science,1962-01-01
Institut de recherches historiques du Septentrion,history,1998-01-01
Centre nacional d'anàlisi genòmica,DNA sequencing,2009-01-01
Museum of the Center for the Acropolis Studies,Acropolis of Athens,1987-01-01
Center for Computer Research in Music and Acoustics,humanities,1975-01-01
