col0,col1,col2,col3,col4,col5,col6
1939 papal conclave,1939-03-01,1958 papal conclave,Francesco Marchetti Selvaggiani,Pius XII,pope,Sistine Chapel
April 1555 papal conclave,1555-04-15,May 1555 papal conclave,Miguel da Silva,Marcellus II,pope,Sistine Chapel
1484 papal conclave,1484-09-04,1492 papal conclave,Julius II,Innocent VIII,pope,Apostolic Palace
1721 papal conclave,1721-03-31,1724 papal conclave,Damian Hugo Philipp von Schönborn,Innocent XIII,pope,Apostolic Palace
March 1605 papal conclave,1605-03-14,May 1605 papal conclave,Girolamo Pamphili,Leo XI,pope,Apostolic Palace
1689 papal conclave,1689-08-23,1691 papal conclave,William Egon of Fürstenberg,Alexander VIII,pope,Apostolic Palace
September 1590 papal conclave,1590-09-07,October–December 1590 papal conclave,Alessandro Peretti di Montalto,Urban VII,pope,Apostolic Palace
1585 papal conclave,1585-04-21,September 1590 papal conclave,Leo XI,Sixtus V,pope,Apostolic Palace
1572 papal conclave,1572-05-22,1585 papal conclave,Gregory XIII,Gregory XIII,pope,Apostolic Palace
March 1605 papal conclave,1605-03-14,May 1605 papal conclave,Leo XI,Leo XI,pope,Apostolic Palace
May 1605 papal conclave,1605-05-08,1621 papal conclave,Flaminio Piatti,Paul V,pope,Apostolic Palace
1294 papal conclave,1294-12-30,1303 papal conclave,Boniface VIII,Boniface VIII,pope,Castel Nuovo
