col0,col1,col2,col3
KFC,North Corbin,Louisville,fried chicken
Long John Silver's,Lexington,Louisville,fish
Nordsee,Bremen,Bremerhaven,fish
Taco Bell,Downey,Irvine,taco
Taco Bueno,Abilene,Houston,taco
Sbarro,New York City,Huntington,fast food
Church's Chicken,San Antonio,Sandy Springs,fast food
Carl's Jr.,Anaheim,Carpinteria,fast food
White Castle,Wichita,Columbus,fast food
McDonald's,Des Plaines,Chicago,fast food
In-N-Out Burger,Baldwin Park,Irvine,hamburger
Whataburger,Corpus Christi,San Antonio,hamburger
Domino's Pizza,Ypsilanti,Ann Arbor Charter Township,pizza
Pizza Hut,Wichita,Plano,pizza
Papa John's Pizza,Jeffersontown,Louisville,pizza
Popeyes Louisiana Kitchen,New Orleans,Atlanta,fried chicken
Krispy Kreme,Winston-Salem,Winston-Salem,doughnut
Hesburger,Turku,Turku,fast food
Chick-fil-A,Atlanta,Atlanta,sandwich
A&W Restaurants,Lodi,Lexington,hamburger
