col0,col1,col2,col3,col4,col5,col6
Reserve Front,1943-03-23,Soviet Armed Forces,Stavka,World War II,front,1941-07-30
Caucasian Front,1942-01-28,Soviet Armed Forces,Stavka,World War II,front,1941-12-30
Kursk Front,1943-03-27,Soviet Armed Forces,Stavka,World War II,front,1943-03-23
4th Ukrainian Front,1945-08-25,Soviet Armed Forces,Fyodor Tolbukhin,World War II,front,1943-10-20
3rd Ukrainian Front,1945-06-15,Soviet Armed Forces,Rodion Malinovsky,World War II,front,1943-10-20
3rd Belorussian Front,1945-08-15,Soviet Armed Forces,Ivan Danilovich Chernyakhovsky,World War II,front,1944-02-24
1st Baltic Front,1945-02-24,Soviet Armed Forces,Andrey Yeryomenko,World War II,front,1943-10-20
Transcaucasian Front,1945-08-25,Soviet Armed Forces,Stavka,World War II,front,1941-08-23
1st Belorussian Front,1945-06-10,Soviet Armed Forces,Konstantin Rokossovsky,World War II,front,1943-10-20
Crimean Front,1942-05-19,Soviet Armed Forces,Stavka,World War II,front,1942-01-28
