col0,col1,col2,col3
Porco Rosso,fantasy film,1992-01-01,Studio Ghibli
Ponyo on the Cliff by the Sea,fantasy film,2008-07-19,Studio Ghibli
Kiki's Delivery Service,fantasy film,1989-07-29,Studio Ghibli
My Neighbor Totoro,fantasy film,1988-04-16,Studio Ghibli
From Up on Poppy Hill,drama film,2011-07-16,Studio Ghibli
Princess Mononoke,drama film,1997-07-12,Studio Ghibli
Pom Poko,drama film,1994-07-16,Studio Ghibli
Spirited Away,drama film,2001-07-20,Studio Ghibli
Howl's Moving Castle,drama film,2004-09-05,Studio Ghibli
Arrietty,anime,2010-07-17,Studio Ghibli
Ghost in the Shell,fantasy film,1995-11-18,Production I.G
Tokyo Godfathers,adventure anime and manga,2003-08-30,Madhouse
Ninja Scroll,fantasy film,1993-01-01,Madhouse
Only Yesterday,drama film,1991-07-20,Studio Ghibli
The Wind Rises,drama film,2013-07-20,Studio Ghibli
Whisper of the Heart,drama film,1995-07-15,Studio Ghibli
Ni no Kuni,fantasy film,2019-08-23,"OLM, Inc."
Code Geass: Lelouch of the Resurrection,science fiction film,2019-02-09,Sunrise
My Hero Academia: Heroes Rising,anime,2019-12-20,Bones
Digimon Adventure: Last Evolution: Kizuna,anime film,2020-02-21,Toei Animation
