col0,col1,col2,col3
North of Earth,United States of America,Cult of the Wind,Chicago
Artifex Mundi,Poland,Lost Grimoires 3: The Forgotten Well,Katowice
Krillbite Studio,Norway,Among the Sleep,Oslo
Chubby Pixel,Italy,Woodle Tree Adventures,Milan
EXOR Studios,Poland,Zombie Driver,Szczecin
Adage Games,Canada,Radar Defense,Montreal
Gameblyr,United States of America,Pathogen,Boston
Amused Sloth,United Kingdom,Gorescript,London
Crows Crows Crows,Germany,"Dr. Langeskov, The Tiger and The Terribly Cursed Emerald: A Whirlwind Heist",Berlin
LavaMind,United States of America,Zapitalism,San Francisco
