col0,col1,col2,col3,col4
Gymnasium Oberalster,Sasel,1945-01-01,Germany,Wandsbek
Gymnasium Oldenfelde,Rahlstedt,1970-04-01,Germany,Wandsbek
Gymnasium Altona,Ottensen,1882-01-01,Germany,Altona
Gymnasium Allee,Altona-Nord,1876-01-01,Germany,Altona
Albert Schweitzer School,Offenbach am Main,1853-01-01,Germany,Offenbach am Main
Türi Gymnasium,Türi,1872-01-01,Estonia,Türi Rural Municipality
Madetoja Upper Secondary School,Karjasilta,1968-01-01,Finland,Oulu
Jakob Westholm Gymnasium,Kassisaba,1898-01-01,Estonia,Tallinn City
First Croatian Gymnasium in Sušak,Rijeka,1627-11-23,Croatia,Primorje-Gorski Kotar County
Gymnázium Jana Valeriána Jirsíka,České Budějovice,2001-09-11,Czech Republic,České Budějovice 3
