col0,col1,col2,col3
Tamamura Town Chūō Elementary School,Tamamura,Tamamura,state school
Narita Public Kuzumi Elementary School,Narita,Narita,state school
Koganei Daiichi Elementary School,Koganei,Koganei,state school
Terashima Daisan Primary School,Sumida-ku,Sumida-ku,state school
Shibuya Ward Tomigaya Elementary School,Shibuya,Shibuya,state school
Shibuya Ward Yoyogi Sanya Elementary School,Shibuya,Shibuya,state school
Shibuya ward Nakahata elementary school,Shibuya,Shibuya,state school
Shibuya Ward Tokiwamatsu Elementary School,Shibuya,Shibuya,state school
Shibuya ward Hatashiro elementary school,Shibuya,Shibuya,state school
Shibuya Ward Rinsen Elementary School,Shibuya,Shibuya,state school
Shibuya Ward Hatomori Elementary School,Shibuya,Shibuya,state school
Hamamatsu Shiritsu Futamata Elementary School,Tenryū Ward,Hamamatsu,state school
Shiba Chūō Elementary School,Kawaguchi,Kawaguchi,state school
Kakegawa City Chūō Elementary School,Kakegawa,Kakegawa,state school
Mashita  Elementary School,Settsu,Settsu,state school
