col0,col1,col2,col3,col4,col5,col6
Hospital Universitario de Guadalajara,University of Alcalá,Servicio de Salud de Castilla La Mancha,Servicio de Salud de Castilla La Mancha,university hospital,Spain,1982-01-25
Hospital Ramón y Cajal,University of Alcalá,Servicio Madrileño de Salud,Servicio Madrileño de Salud,university hospital,Spain,1977-01-01
Hospital Universitario Puerto Real,Andalusian Health Service,University of Cádiz,Andalusian Health Service,university hospital,Spain,1990-01-01
Hospital Universitario Príncipe de Asturias,University of Alcalá,Servicio Madrileño de Salud,Servicio Madrileño de Salud,university hospital,Spain,1987-11-30
Hospital Universitario La Paz,Autonomous University of Madrid,Servicio Madrileño de Salud,Servicio Madrileño de Salud,university hospital,Spain,1964-01-01
Hospital Santa Cristina,Universidad Europea de Madrid,Servicio Madrileño de Salud,Servicio Madrileño de Salud,university hospital,Spain,1924-01-01
Bicêtre Hospital,Assistance Publique – Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,university hospital,France,1642-01-01
Hospital Universitario Puerto Real,Andalusian Health Service,Andalusian Health Service,Andalusian Health Service,university hospital,Spain,1990-01-01
Hospital Reina Sofía,University of Córdoba,Andalusian Health Service,Andalusian Health Service,university hospital,Spain,1976-01-01
Queen Mary Hospital,University of Hong Kong,Hong Kong West Cluster,Hospital Authority,university hospital,People's Republic of China,1937-01-01
Helsinki University Central Hospital,University of Helsinki,Meilahti hospital area,Hospital District of Helsinki and Uusimaa,university hospital,Finland,1958-03-01
