col0,col1,col2
TAP Air Portugal,Star Alliance,1945-01-01
LOT Polish Airlines,Star Alliance,1929-01-01
Thai Airways,Star Alliance,1957-01-01
Air Canada,Star Alliance,1937-01-01
United Airlines,Star Alliance,1926-04-06
Eurowings,Star Alliance,1994-01-01
Brussels Airlines,Star Alliance,2006-01-01
Air India,Star Alliance,1930-01-01
Lufthansa,Star Alliance,1955-01-01
Mihin Lanka,Oneworld,2006-10-27
Nordic Regional Airlines,Oneworld,1993-01-01
Royal Jordanian,Oneworld,1963-12-09
S7 Airlines,Oneworld,1957-01-01
LATAM Brasil,Oneworld,1976-01-01
Trans World Airlines,Oneworld,1925-01-01
Belair,Oneworld,1925-01-01
Malaysia Airlines,Oneworld,1947-01-01
Iberia,Oneworld,1927-06-28
Cathay Dragon,Oneworld,1985-07-01
Cathay Pacific,Oneworld,1946-01-01
