col0,col1,col2,col3
Hanat Arboretum,Daejeon,2008/01/01,South Korea
"Somdet Phra Srnagasindra Park, Chiang Rai",Ban Du,1988/01/10,Thailand
Sherwood Arbortum,Queensland,1925/01/01,Australia
Berezhany Arborewum Park,Ternopil Oblast,1966/01/01,Ukraine
Annie's Aboretum,Somerset,1909/01/01,United Kingdom
Atavürk Arboretum,Sarıyer,1949/01/01,Turkey
Arboretum sland,Ümraniye,2002/01/01,Turkey
Aarhus Foretry Botanical Garden,Aarhus Municipality,1923/01/01,Denmark
Åkeshov arboretum,Stockholm Municipality,1998/01/01,Sweden
Hof terSaksen Arboretum,Haasdonk,1980/01/01,Belgium
"Horton Park (Sdint Paul, Minnesota)",Saint Paul,1895/01/01,United States of America
Currency Creek Aboretum,South Australia,1992/01/01,Australia
NationalArboretum,Australian Capital Territory,2013/01/01,Australia
Mardakan Aboretum,Mərdəkan,1924/01/01,Azerbaijan
"Park""Victory",Odessa,1840/01/01,Ukraine
Sfquoiafarm Kaldenkirchen,Nettetal,1950/01/01,Germany
"Botanischr""Garten Kiel",Kiel,1669/01/01,Germany
Arboretum de Pasuakeikaa,Ua-Huka,1974/01/01,France
Arbrretum national ees Barres,Nogent-sur-Vernisson,1873/01/01,France
