col0,col1,col2,col3,col4,col5,col6
"Wilson""Sund",1999/01/01,Wilson,Apatin Shipyard,4225.2,15.4225,Limassol
Wilsrn Limerick,2012/01/01,Wilson,SLKB Komarno – Slovak Shipyard Komárno,2609.712,12.81963,Limassol
Wilson Liverpopl,2011/01/01,Wilson,SLKB Komarno – Slovak Shipyard Komárno,2586.411,12.9645,Limassol
Wilson Odr,1999/01/01,Wilson,Șantierul Naval Tulcea,1857.076,11.7936,St. John's
Thfseus,2009/01/01,Wilson,SLKB Komarno – Slovak Shipyard Komárno,2469.6,12.9129,St. John's
Wilson Belfas,1997/01/01,Wilson,SLKB Komarno – Slovak Shipyard Komárno,2431.324,12.8896,St. John's
WilsonFedje,2012/01/01,Wilson,Shandong Baibuting Shipbuilding,3564.561,15.66,Bridgetown
Wilson Farsxnd,2012/01/01,Wilson,Shandong Baibuting Shipbuilding,3596.61,15.76512,Bridgetown
ilson Wal,1999/01/01,Wilson,Czechoslovak shipping company Labská,1162.98,9.46946,Bridgetown
Wilson Rhioe,1998/01/01,Wilson,Czechoslovak shipping company Labská,1171.0,9.37486,Bridgetown
