col0,col1,col2,col3
Maure-de-Bretagne,Ille-et-Vilaine,Val d'Anast,34
Campel,Ille-et-Vilaine,Val d'Anast,80
Saint-Brice-en-Coglès,Ille-et-Vilaine,Maen Roch,100
Sainte-Alvère,Dordogne,Sainte-Alvère-Saint-Laurent-les-Bâtons,284
Cantois,Gironde,Porte-de-Benauge,50
Notre-Dame-de-la-Rouvière,Gard,Val-d'Aigoual,273
Ploubalay,Côtes-d'Armor,Beaussais-sur-Mer,60
Plessix-Balisson,Côtes-d'Armor,Beaussais-sur-Mer,50
Lécaude,Calvados,Mézidon Vallée d'Auge,27
Longueval-Barbonval,Aisne,Les Septvallons,90
Perles,Aisne,Les Septvallons,170
Le Gouray,Côtes-d'Armor,Le Mené,165
Grande-Rivière,Jura,Grande-Rivière Château,890
Foucherans,Doubs,Tarcenay-Foucherans,550
Biéville-Quétiéville,Calvados,Belle Vie en Auge,11
