col0,col1,col2,col3,col4,col5
North Cascades National Park,Seattle,North Cascades National Park Visitor Center,1968-10-02,Chelan County,2043.0
Olympic National Park,Seattle,Hurricane Ridge Visitor Center,1938-06-29,Grays Harbor County,373380.0
White Sands National Park,Alamogordo,White Sands National Park Visitor Center,1933-01-18,Otero County,581.67
Olympic National Park,Seattle,Hoh Rain Forest Visitor Center,1938-06-29,Jefferson County,922649.41
Haleakalā National Park,Pukalani,Haleakalā Visitor Center,1961-07-01,Maui,134.6
North Cascades National Park,Seattle,North Cascades National Park Visitor Center,1968-10-02,Skagit County,2043.0
White Sands National Park,Alamogordo,White Sands National Park Visitor Center,1933-01-18,Doña Ana County,581.67
Big Bend National Park,Alpine,Chisos Basin Visitor Center,1942-06-12,Brewster County,3091.26
Saguaro National Park,Tucson,Rincon Mountain District Visitor Center,1994-01-01,Pima County,374.0
Virgin Islands National Park,Charlotte Amalie,Cruz Bay Visitor Center,1956-08-02,United States Virgin Islands,59.6
Great Smoky Mountains National Park,Cherokee,Oconaluftee Visitor Center,1934-06-15,North Carolina,209000.0
Shenandoah National Park,Front Royal,Dickey Ridge Visitor Center,1935-12-26,Virginia,805.39
Rocky Mountain National Park,Estes Park,Alpine Visitor Center,1915-01-01,Colorado,1075.5
Canyonlands National Park,Moab,The Needles Visitor Center,1964-09-12,Utah,337598.0
